year,local_gov_code,medical_income_basis,medical_asset_basis,medical_capita_basis,medical_household_basis,medical_limit,elderly_income_basis,elderly_asset_basis,elderly_capita_basis,elderly_household_basis,elderly_limit,care_income_basis,care_asset_basis,care_capita_basis,care_household_basis,care_limit,january,february,march,april,may,june,july,august,september,october,november,december
2021,011002,8.83,0.00,17380,31140,630000,2.94,0.00,5710,10220,190000,2.35,0.00,5210,7140,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,022012,9.71,0.00,20040,24720,630000,2.46,0.00,6360,7680,190000,2.74,0.00,13800,0,170000,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,032018,8.40,0.00,44000,23900,630000,2.60,0.00,6200,7100,190000,2.50,0.00,6400,6700,170000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,041009,7.30,0.00,21530,22130,630000,2.96,0.00,8600,8840,190000,2.61,0.00,8800,6680,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,052019,9.22,0.00,22960,21510,630000,2.51,0.00,6620,5580,190000,2.88,0.00,8950,8570,170000,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,062014,9.42,0.00,22800,26700,630000,2.79,0.00,6700,8400,190000,2.08,0.00,13600,0,170000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,072010,6.70,0.00,17900,18300,630000,2.80,0.00,6700,7000,190000,3.80,0.00,11900,7900,170000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,082015,7.15,0.00,23000,26000,630000,2.35,0.00,7000,9000,190000,2.05,0.00,9500,5500,170000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,092011,6.36,0.00,25900,19000,630000,2.55,0.00,9800,7200,190000,2.07,0.00,10500,6400,170000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,102016,6.80,0.00,24600,16800,630000,2.50,0.00,13200,0,190000,2.50,0.00,15600,0,170000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,111007,7.51,0.00,29500,0,630000,2.24,0.00,9100,0,190000,2.10,0.00,10200,0,170000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,121002,6.60,0.00,19320,25200,580000,217,0.00,6360,8160,190000,2.12,0.00,9720,7080,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,131041,7.13,0.00,38800,0,630000,2.41,0.00,13200,0,190000,2.05,0.00,17000,0,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,141003,7.36,0.00,34430,0,630000,2.24,0.00,10430,0,190000,2.65,0.00,14710,0,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,151009,7.60,0.00,17700,22200,630000,3.10,0.00,7200,9000,190000,2.50,0.00,14100,0,170000,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,162019,6.40,0.00,25000,17500,630000,2.30,0.00,8200,7000,190000,2.30,0.00,9500,6500,170000,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,172014,7.62,0.00,24000,21480,610000,2.58,0.00,10320,7080,190000,2.32,0.00,11880,6000,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,182010,8.10,0.00,29600,17400,630000,2.91,0.00,8900,5600,190000,2.55,0.00,9100,5600,170000,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,192015,8.49,0.00,27300,25500,630000,2.34,0.00,9600,6700,190000,2.18,0.00,9800,6000,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,202011,8.20,0.00,17760,19680,630000,2.80,0.00,6240,7560,190000,2.60,0.00,8760,7080,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,212016,8.77,0.00,27000,29400,630000,2.74,0.00,8400,9120,190000,1.71,0.00,7800,6120,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,221007,8.08,0.00,24900,20900,630000,2.30,0.00,9800,7600,190000,2.33,0.00,18400,0,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
